item,condition,sentence,baseline,recon_L14,recon_L18,recon_L20,recon_L22,recon_all,ablate_L22_F6415_general,ablate_L20_F31666_general,ablate_L14_F51903_negspec,ablate_CONTROL_L22_F22498,ablate_COMBINED,effect_L22_F6415_general,effect_L20_F31666_general,effect_L14_F51903_negspec,effect_CONTROL_L22_F22498,effect_COMBINED,environment
1,A,The manager did not approve any proposals.,-4.864857196807861,-4.178833484649658,-4.013101577758789,-4.447484016418457,-4.700538635253906,-3.843413829803467,-6.280591011047363,-6.535187721252441,-4.438924789428711,-4.700538635253906,-6.601940155029297,1.580052375793457,2.0877037048339844,0.26009130477905273,0.0,2.75852632522583,sentential_negation
1,B,The manager who did not approve the budget reviewed any proposals.,-6.9254841804504395,-7.131079196929932,-6.5177412033081055,-6.808355331420898,-6.270460605621338,-7.456914901733398,-7.261965751647949,-8.113115310668945,-7.131079196929932,-6.270460605621338,-7.414000988006592,0.9915051460266113,1.3047599792480469,0.0,0.0,-0.04291391372680664,sentential_negation
1,C,The manager did approve any proposals.,-7.951018333435059,-8.463241577148438,-6.933359622955322,-7.096384048461914,-7.4700798988342285,-6.267745494842529,-7.4700798988342285,-7.096384048461914,-8.463241577148438,-7.4700798988342285,-6.89124059677124,0.0,0.0,0.0,0.0,0.6234951019287109,sentential_negation
2,A,The teacher has not assigned any homework.,-1.6143462657928467,-1.8381187915802002,-1.756547212600708,-1.966774344444275,-1.8841164112091064,-2.6675169467926025,-3.0378198623657227,-4.554502010345459,-2.222696304321289,-1.997921347618103,-6.988691329956055,1.1537034511566162,2.587727665901184,0.38457751274108887,0.11380493640899658,4.321174383163452,sentential_negation
2,B,The teacher who has not finished the grading assigned any homework.,-10.171202659606934,-10.261861801147461,-9.272491455078125,-9.745182037353516,-9.4276704788208,-8.627447128295898,-10.442482948303223,-10.706104278564453,-10.261861801147461,-9.4276704788208,-10.975934028625488,1.0148124694824219,0.9609222412109375,0.0,0.0,2.34848690032959,sentential_negation
2,C,The teacher has assigned any homework.,-10.26069164276123,-10.203640937805176,-9.264427185058594,-10.918984413146973,-11.538705825805664,-10.28289794921875,-11.538705825805664,-10.918984413146973,-10.203640937805176,-11.538705825805664,-9.61022663116455,0.0,0.0,0.0,0.0,-0.6726713180541992,sentential_negation
3,A,The committee did not consider any alternatives.,-2.5173206329345703,-2.6139328479766846,-2.5536935329437256,-2.5538992881774902,-2.473416805267334,-3.0354666709899902,-3.5368499755859375,-4.527325630187988,-2.850771427154541,-2.473416805267334,-5.576992988586426,1.0634331703186035,1.973426342010498,0.23683857917785645,0.0,2.5415263175964355,sentential_negation
3,B,The committee that did not meet last week considered any alternatives.,-9.0357027053833,-8.038832664489746,-7.444576263427734,-7.153602600097656,-7.656540393829346,-6.630685806274414,-7.656540393829346,-7.153602600097656,-8.038832664489746,-7.656540393829346,-7.104516506195068,0.0,0.0,0.0,0.0,0.4738306999206543,sentential_negation
3,C,The committee did consider any alternatives.,-7.526173114776611,-6.751568794250488,-7.463576316833496,-7.18875789642334,-7.238784313201904,-6.387946128845215,-7.238784313201904,-7.18875789642334,-6.751568794250488,-7.238784313201904,-6.504317283630371,0.0,0.0,0.0,0.0,0.11637115478515625,sentential_negation
4,A,The doctor has not recommended any treatment.,-1.6794533729553223,-2.1302571296691895,-1.9577946662902832,-1.7126317024230957,-1.9119118452072144,-3.015031576156616,-2.799999475479126,-3.62903094291687,-2.740112066268921,-2.044226884841919,-7.229735851287842,0.8880876302719116,1.9163992404937744,0.6098549365997314,0.1323150396347046,4.214704275131226,sentential_negation
4,B,The doctor who has not seen the results recommended any treatment.,-6.4060773849487305,-6.569769382476807,-6.541464805603027,-6.903431415557861,-7.369657039642334,-8.46249008178711,-8.556753158569336,-8.492179870605469,-6.569769382476807,-7.369657039642334,-8.791437149047852,1.187096118927002,1.5887484550476074,0.0,0.0,0.3289470672607422,sentential_negation
4,C,The doctor has recommended any treatment.,-10.708168029785156,-10.395523071289062,-8.69970989227295,-9.914508819580078,-9.370821952819824,-8.855544090270996,-9.370821952819824,-9.914508819580078,-10.395523071289062,-9.370821952819824,-7.93375301361084,0.0,0.0,0.0,0.0,-0.9217910766601562,sentential_negation
5,A,The company did not hire any contractors.,-2.2231478691101074,-2.252910614013672,-2.059783935546875,-2.356194019317627,-2.3180394172668457,-2.5397021770477295,-3.5145843029022217,-5.159906387329102,-2.6498806476593018,-2.3180394172668457,-7.082855224609375,1.196544885635376,2.8037123680114746,0.3969700336456299,0.0,4.5431530475616455,sentential_negation
5,B,The company that did not post the earnings hired any contractors.,-11.600415229797363,-10.608283996582031,-9.693076133728027,-11.076626777648926,-9.425244331359863,-8.247113227844238,-9.425244331359863,-11.076626777648926,-10.608283996582031,-9.425244331359863,-8.43255615234375,0.0,0.0,0.0,0.0,0.18544292449951172,sentential_negation
5,C,The company did hire any contractors.,-8.838064193725586,-8.95228385925293,-9.201583862304688,-11.224504470825195,-9.412549018859863,-9.284215927124023,-9.412549018859863,-11.224504470825195,-8.95228385925293,-9.412549018859863,-9.339316368103027,0.0,0.0,0.0,0.0,0.055100440979003906,sentential_negation
6,A,The researcher did not find any evidence.,-1.123982310295105,-1.2950938940048218,-1.0006756782531738,-1.1293388605117798,-1.0010075569152832,-1.254708170890808,-1.5646846294403076,-2.7490086555480957,-1.4417316913604736,-1.0831090211868286,-4.422467231750488,0.5636770725250244,1.619669795036316,0.14663779735565186,0.08210146427154541,3.16775906085968,sentential_negation
6,B,The researcher who did not publish the paper found any evidence.,-6.624617576599121,-7.329225540161133,-6.018666744232178,-6.994779586791992,-7.1399078369140625,-8.756624221801758,-9.547369003295898,-8.916664123535156,-7.329225540161133,-7.1399078369140625,-8.994653701782227,2.407461166381836,1.921884536743164,0.0,0.0,0.23802947998046875,sentential_negation
6,C,The researcher did find any evidence.,-5.987717628479004,-8.520992279052734,-8.941547393798828,-7.4806318283081055,-8.347064971923828,-8.723786354064941,-8.347064971923828,-9.339920997619629,-8.520992279052734,-8.347064971923828,-8.307943344116211,0.0,1.8592891693115234,0.0,0.0,-0.41584300994873047,sentential_negation
7,A,The chef did not use any butter.,-1.9896810054779053,-2.116760730743408,-1.963014841079712,-2.070895195007324,-2.1211342811584473,-2.2988688945770264,-3.7132318019866943,-5.004083156585693,-2.8279008865356445,-2.1211342811584473,-6.500763893127441,1.592097520828247,2.933187961578369,0.7111401557922363,0.0,4.201894998550415,sentential_negation
7,B,The chef who did not prepare the appetizer used any butter.,-7.224978446960449,-7.922002792358398,-7.887782096862793,-8.40693473815918,-8.513318061828613,-7.5410542488098145,-8.513318061828613,-8.40693473815918,-7.922002792358398,-8.513318061828613,-8.016218185424805,0.0,0.0,0.0,0.0,0.47516393661499023,sentential_negation
7,C,The chef did use any butter.,-7.079164028167725,-6.994090557098389,-6.390939712524414,-7.815644264221191,-8.786274909973145,-7.731994152069092,-8.786274909973145,-9.04934024810791,-7.700854778289795,-8.786274909973145,-8.330544471740723,0.0,1.2336959838867188,0.7067642211914062,0.0,0.5985503196716309,sentential_negation
8,A,The pilot did not report any turbulence.,-1.0247644186019897,-1.556234359741211,-1.0451056957244873,-1.0580806732177734,-0.9925681352615356,-1.4379560947418213,-1.5370047092437744,-2.297987461090088,-1.897072434425354,-1.170281171798706,-4.638607978820801,0.5444365739822388,1.2399067878723145,0.34083807468414307,0.1777130365371704,3.2006518840789795,sentential_negation
8,B,The pilot who did not complete the checklist reported any turbulence.,-7.470749378204346,-7.6576337814331055,-8.336942672729492,-6.434930324554443,-8.035577774047852,-6.32292366027832,-8.035577774047852,-6.434930324554443,-7.6576337814331055,-8.035577774047852,-6.945660591125488,0.0,0.0,0.0,0.0,0.622736930847168,sentential_negation
8,C,The pilot did report any turbulence.,-6.38551139831543,-8.207125663757324,-6.515476226806641,-8.525700569152832,-7.872274875640869,-9.865546226501465,-7.872274875640869,-8.525700569152832,-8.207125663757324,-7.872274875640869,-8.155360221862793,0.0,0.0,0.0,0.0,-1.7101860046386719,sentential_negation
9,A,The bank did not offer any discounts.,-1.049039363861084,-1.0753614902496338,-1.2028034925460815,-1.1886430978775024,-1.0640448331832886,-1.5176175832748413,-2.170414447784424,-3.253129482269287,-1.130893588066101,-1.1928975582122803,-6.646226406097412,1.1063696146011353,2.0644863843917847,0.055532097816467285,0.1288527250289917,5.128608822822571,sentential_negation
9,B,The bank that did not update the system offered any discounts.,-8.533849716186523,-8.882919311523438,-8.85594367980957,-8.294841766357422,-7.964530944824219,-7.225099563598633,-7.964530944824219,-8.294841766357422,-8.882919311523438,-7.964530944824219,-7.86917781829834,0.0,0.0,0.0,0.0,0.644078254699707,sentential_negation
9,C,The bank did offer any discounts.,-7.113316059112549,-7.679200172424316,-7.5341691970825195,-8.874946594238281,-7.265838146209717,-7.0454535484313965,-7.265838146209717,-8.874946594238281,-7.679200172424316,-7.265838146209717,-7.128868579864502,0.0,0.0,0.0,0.0,0.08341503143310547,sentential_negation
10,A,The inspector did not notice any damage.,-1.5027498006820679,-1.8616070747375488,-1.522654414176941,-1.5752118825912476,-1.497761607170105,-2.1098740100860596,-2.384467601776123,-3.072559356689453,-2.1151604652404785,-1.5985087156295776,-4.79836368560791,0.8867059946060181,1.4973474740982056,0.2535533905029297,0.10074710845947266,2.6884896755218506,sentential_negation
10,B,The inspector who did not review the footage noticed any damage.,-7.731605529785156,-8.457019805908203,-8.97928237915039,-8.215705871582031,-9.328150749206543,-9.891119956970215,-10.598067283630371,-8.215705871582031,-8.457019805908203,-9.328150749206543,-10.410771369934082,1.2699165344238281,0.0,0.0,0.0,0.5196514129638672,sentential_negation
10,C,The inspector did notice any damage.,-5.949821949005127,-6.398437023162842,-6.737492561340332,-8.28235149383545,-7.494977951049805,-7.438042640686035,-7.494977951049805,-8.28235149383545,-6.398437023162842,-7.494977951049805,-7.050694942474365,0.0,0.0,0.0,0.0,-0.3873476982116699,sentential_negation
11,A,The students have not submitted any essays.,-1.9239596128463745,-2.0925941467285156,-2.1723411083221436,-2.122166872024536,-1.9398460388183594,-2.5930397510528564,-2.918586492538452,-4.419910907745361,-2.663635015487671,-1.9398460388183594,-6.246241092681885,0.9787404537200928,2.297744035720825,0.5710408687591553,0.0,3.6532013416290283,sentential_negation
11,B,The students who have not attended the lecture submitted any essays.,-6.122656345367432,-5.967247009277344,-7.000367641448975,-5.722545623779297,-7.185297966003418,-8.721922874450684,-7.185297966003418,-6.451597690582275,-5.967247009277344,-7.185297966003418,-8.563648223876953,0.0,0.7290520668029785,0.0,0.0,-0.15827465057373047,sentential_negation
11,C,The students have submitted any essays.,-10.990377426147461,-10.740303039550781,-10.291604042053223,-11.199817657470703,-9.988485336303711,-9.087879180908203,-9.988485336303711,-11.199817657470703,-10.740303039550781,-9.988485336303711,-10.01773738861084,0.0,0.0,0.0,0.0,0.9298582077026367,sentential_negation
12,A,The engineer did not detect any flaws.,-1.0720793008804321,-1.2225170135498047,-1.0955588817596436,-1.14619779586792,-1.1066415309906006,-1.2978973388671875,-1.6393218040466309,-2.540358066558838,-1.5482279062271118,-1.2445491552352905,-3.5656790733337402,0.5326802730560303,1.394160270690918,0.32571089267730713,0.13790762424468994,2.2677817344665527,sentential_negation
12,B,The engineer who did not run the simulation detected any flaws.,-7.512943744659424,-7.621654510498047,-6.532715320587158,-7.147219657897949,-7.041830062866211,-6.070018291473389,-7.041830062866211,-7.147219657897949,-7.621654510498047,-7.041830062866211,-6.605142116546631,0.0,0.0,0.0,0.0,0.5351238250732422,sentential_negation
12,C,The engineer did detect any flaws.,-5.084854602813721,-5.073101997375488,-5.848415374755859,-6.5762248039245605,-5.969567775726318,-5.895390510559082,-5.969567775726318,-6.5762248039245605,-5.073101997375488,-5.969567775726318,-6.3799147605896,0.0,0.0,0.0,0.0,0.4845242500305176,sentential_negation
13,A,The librarian has not catalogued any donations.,-2.923923969268799,-2.5076425075531006,-2.8777151107788086,-2.900603771209717,-3.0105786323547363,-3.143357038497925,-4.168034553527832,-5.096065998077393,-2.589937686920166,-3.0105786323547363,-7.164848327636719,1.1574559211730957,2.195462226867676,0.08229517936706543,0.0,4.021491289138794,sentential_negation
13,B,The librarian who has not sorted the returns catalogued any donations.,-6.8937201499938965,-7.507347583770752,-7.23171329498291,-6.7188568115234375,-5.978782653808594,-7.79685115814209,-6.730794906616211,-7.719588279724121,-7.507347583770752,-5.978782653808594,-7.243854522705078,0.7520122528076172,1.0007314682006836,0.0,0.0,-0.5529966354370117,sentential_negation
13,C,The librarian has catalogued any donations.,-8.36433219909668,-8.373847007751465,-8.170860290527344,-7.869088172912598,-8.026718139648438,-8.21239185333252,-8.026718139648438,-7.869088172912598,-8.373847007751465,-8.026718139648438,-8.016345977783203,0.0,0.0,0.0,0.0,-0.1960458755493164,sentential_negation
14,A,The officer did not file any complaints.,-2.0017588138580322,-2.0383949279785156,-1.9530106782913208,-2.2491891384124756,-1.9877420663833618,-2.4732227325439453,-3.236325740814209,-5.513422012329102,-2.5012664794921875,-2.0822556018829346,-9.512502670288086,1.2485836744308472,3.264232873916626,0.4628715515136719,0.09451353549957275,7.039279937744141,sentential_negation
14,B,The officer who did not interview the witness filed any complaints.,-10.009529113769531,-9.27550983428955,-9.176669120788574,-10.262962341308594,-11.324394226074219,-9.804259300231934,-11.324394226074219,-10.262962341308594,-9.27550983428955,-11.324394226074219,-10.503908157348633,0.0,0.0,0.0,0.0,0.6996488571166992,sentential_negation
14,C,The officer did file any complaints.,-7.443630695343018,-8.125800132751465,-7.98442268371582,-8.409419059753418,-7.719966411590576,-10.253786087036133,-8.71622085571289,-10.064031600952148,-8.125800132751465,-7.719966411590576,-10.372807502746582,0.9962544441223145,1.6546125411987305,0.0,0.0,0.11902141571044922,sentential_negation
15,A,The architect did not draft any blueprints.,-2.9377341270446777,-3.074967861175537,-3.187199354171753,-3.074589729309082,-2.7354278564453125,-3.262708902359009,-4.276504039764404,-5.762860298156738,-3.3489530086517334,-2.7354278564453125,-7.212966442108154,1.5410761833190918,2.6882705688476562,0.2739851474761963,0.0,3.9502575397491455,sentential_negation
15,B,The architect who did not visit the site drafted any blueprints.,-9.06873607635498,-8.222593307495117,-8.474337577819824,-8.65400505065918,-9.148900985717773,-8.570337295532227,-9.148900985717773,-8.65400505065918,-8.222593307495117,-9.148900985717773,-9.129197120666504,0.0,0.0,0.0,0.0,0.5588598251342773,sentential_negation
15,C,The architect did draft any blueprints.,-8.109298706054688,-8.295764923095703,-7.861617565155029,-8.653820991516113,-9.6452054977417,-9.123607635498047,-9.6452054977417,-8.653820991516113,-8.295764923095703,-9.6452054977417,-8.755805015563965,0.0,0.0,0.0,0.0,-0.36780261993408203,sentential_negation
16,A,The editor has not approved any articles.,-3.7683534622192383,-3.5537400245666504,-3.8821606636047363,-3.497068166732788,-3.5068626403808594,-3.5845460891723633,-4.913793563842773,-6.010193347930908,-3.7387773990631104,-3.5068626403808594,-6.137060165405273,1.406930923461914,2.51312518119812,0.18503737449645996,0.0,2.55251407623291,sentential_negation
16,B,The editor who has not read the manuscript approved any articles.,-10.741649627685547,-9.315369606018066,-11.090328216552734,-11.914453506469727,-11.316288948059082,-9.110982894897461,-11.316288948059082,-11.914453506469727,-9.315369606018066,-11.316288948059082,-10.492622375488281,0.0,0.0,0.0,0.0,1.3816394805908203,sentential_negation
16,C,The editor has approved any articles.,-10.646561622619629,-9.590768814086914,-9.960652351379395,-9.086264610290527,-9.662179946899414,-8.651738166809082,-9.662179946899414,-9.086264610290527,-9.590768814086914,-9.662179946899414,-8.517333984375,0.0,0.0,0.0,0.0,-0.13440418243408203,sentential_negation
17,A,The scientist did not observe any reactions.,-1.6127398014068604,-2.0014395713806152,-1.705923080444336,-1.6009904146194458,-1.6130566596984863,-2.501880168914795,-2.567646026611328,-3.774747371673584,-2.485820770263672,-1.7201045751571655,-6.6775126457214355,0.9545893669128418,2.173756957054138,0.48438119888305664,0.1070479154586792,4.175632476806641,sentential_negation
17,B,The scientist who did not calibrate the instrument observed any reactions.,-8.66634750366211,-9.51818561553955,-8.968424797058105,-9.173370361328125,-9.625386238098145,-7.570499897003174,-9.625386238098145,-9.173370361328125,-9.51818561553955,-9.625386238098145,-8.181487083435059,0.0,0.0,0.0,0.0,0.6109871864318848,sentential_negation
17,C,The scientist did observe any reactions.,-4.750692367553711,-4.812867164611816,-5.171310901641846,-5.9838175773620605,-5.573032379150391,-7.454063415527344,-6.6240410804748535,-7.812794208526611,-6.0607733726501465,-5.573032379150391,-9.050189971923828,1.051008701324463,1.8289766311645508,1.24790620803833,0.0,1.5961265563964844,sentential_negation
18,A,The agency did not receive any applications.,-1.1098108291625977,-1.295271873474121,-1.1396796703338623,-1.0332704782485962,-1.1436271667480469,-1.3310946226119995,-2.1449601650238037,-2.5964009761810303,-1.424668550491333,-1.2650259733200073,-4.6756672859191895,1.0013329982757568,1.563130497932434,0.12939667701721191,0.12139880657196045,3.34457266330719,sentential_negation
18,B,The agency that did not open the portal received any applications.,-8.312111854553223,-8.065539360046387,-8.524946212768555,-9.043898582458496,-9.581912994384766,-7.853551864624023,-9.581912994384766,-9.043898582458496,-8.065539360046387,-9.581912994384766,-8.64277458190918,0.0,0.0,0.0,0.0,0.7892227172851562,sentential_negation
18,C,The agency did receive any applications.,-6.217813491821289,-6.852972030639648,-6.330567359924316,-9.799301147460938,-8.180122375488281,-8.02133846282959,-9.291563987731934,-9.799301147460938,-6.852972030639648,-8.180122375488281,-7.873054504394531,1.1114416122436523,0.0,0.0,0.0,-0.1482839584350586,sentential_negation
19,A,The lawyer did not raise any objections.,-1.6684131622314453,-1.6945446729660034,-1.4948902130126953,-1.8664768934249878,-1.7689746618270874,-1.7904760837554932,-2.945638418197632,-4.475068092346191,-1.8935787677764893,-1.7689746618270874,-5.7754340171813965,1.1766637563705444,2.6085911989212036,0.19903409481048584,0.0,3.9849579334259033,sentential_negation
19,B,The lawyer who did not review the contract raised any objections.,-7.902666091918945,-7.905621528625488,-6.359352111816406,-8.469759941101074,-9.629305839538574,-7.539278984069824,-9.629305839538574,-8.469759941101074,-7.905621528625488,-9.629305839538574,-8.354263305664062,0.0,0.0,0.0,0.0,0.8149843215942383,sentential_negation
19,C,The lawyer did raise any objections.,-8.934081077575684,-7.901484966278076,-8.393293380737305,-9.262152671813965,-9.739522933959961,-7.765959739685059,-9.739522933959961,-9.262152671813965,-7.901484966278076,-9.739522933959961,-8.915328979492188,0.0,0.0,0.0,0.0,1.149369239807129,sentential_negation
20,A,The curator has not displayed any paintings.,-1.7333298921585083,-1.9700405597686768,-2.202561616897583,-2.0213232040405273,-1.8972636461257935,-2.16738224029541,-3.2664661407470703,-4.338181972503662,-2.0975723266601562,-1.9615898132324219,-5.9500322341918945,1.3692024946212769,2.3168587684631348,0.1275317668914795,0.06432616710662842,3.7826499938964844,sentential_negation
20,B,The curator who has not organized the exhibit displayed any paintings.,-4.5787248611450195,-5.884840965270996,-4.669159412384033,-4.782059192657471,-5.123608589172363,-7.126025199890137,-7.142887115478516,-7.263411998748779,-5.884840965270996,-5.123608589172363,-6.641049385070801,2.0192785263061523,2.4813528060913086,0.0,0.0,-0.48497581481933594,sentential_negation
20,C,The curator has displayed any paintings.,-10.581524848937988,-10.288565635681152,-8.655450820922852,-9.908751487731934,-8.795820236206055,-7.933772087097168,-8.795820236206055,-9.908751487731934,-10.288565635681152,-8.795820236206055,-8.609646797180176,0.0,0.0,0.0,0.0,0.6758747100830078,sentential_negation
21,A,The director did not schedule any meetings.,-2.1062698364257812,-2.28446102142334,-2.3793187141418457,-2.3932104110717773,-2.378967761993408,-2.9431755542755127,-4.153355121612549,-5.313446998596191,-3.13735032081604,-2.378967761993408,-8.478708267211914,1.7743873596191406,2.920236587524414,0.8528892993927002,0.0,5.535532712936401,sentential_negation
21,B,The director who did not cancel the conference scheduled any meetings.,-12.898736953735352,-12.956764221191406,-12.47386646270752,-13.365734100341797,-13.428415298461914,-13.269603729248047,-13.428415298461914,-13.365734100341797,-12.956764221191406,-13.428415298461914,-13.846100807189941,0.0,0.0,0.0,0.0,0.5764970779418945,sentential_negation
21,C,The director did schedule any meetings.,-9.77039623260498,-10.180675506591797,-9.953059196472168,-9.212688446044922,-9.03277587890625,-8.088812828063965,-9.03277587890625,-9.212688446044922,-10.180675506591797,-9.03277587890625,-8.04278564453125,0.0,0.0,0.0,0.0,-0.046027183532714844,sentential_negation
22,A,The mechanic did not replace any parts.,-3.8170225620269775,-3.9452736377716064,-4.1534857749938965,-4.129446029663086,-3.89457368850708,-4.019998073577881,-5.846065521240234,-7.592463970184326,-4.007970809936523,-3.89457368850708,-7.364925384521484,1.9514918327331543,3.4630179405212402,0.06269717216491699,0.0,3.3449273109436035,sentential_negation
22,B,The mechanic who did not inspect the engine replaced any parts.,-7.806247234344482,-7.587285995483398,-7.03190803527832,-8.549871444702148,-7.961857795715332,-7.855360507965088,-7.961857795715332,-8.549871444702148,-7.587285995483398,-7.961857795715332,-8.095186233520508,0.0,0.0,0.0,0.0,0.23982572555541992,sentential_negation
22,C,The mechanic did replace any parts.,-7.575338840484619,-8.163825988769531,-8.271249771118164,-9.336743354797363,-9.450606346130371,-8.858838081359863,-9.450606346130371,-9.336743354797363,-8.163825988769531,-9.450606346130371,-8.618709564208984,0.0,0.0,0.0,0.0,-0.2401285171508789,sentential_negation
23,A,The auditor has not flagged any discrepancies.,-0.6014686822891235,-0.6929616928100586,-0.675486147403717,-0.5291373133659363,-0.6273189187049866,-1.113294005393982,-1.190195083618164,-1.6935925483703613,-0.8576316833496094,-0.7143403887748718,-4.441553115844727,0.5628761649131775,1.164455235004425,0.16466999053955078,0.08702147006988525,3.3282591104507446,sentential_negation
23,B,The auditor who has not examined the records flagged any discrepancies.,-7.543732166290283,-6.29848051071167,-6.959907531738281,-8.025742530822754,-8.51739501953125,-9.831433296203613,-9.42849349975586,-8.025742530822754,-6.29848051071167,-8.51739501953125,-8.730209350585938,0.9110984802246094,0.0,0.0,0.0,-1.1012239456176758,sentential_negation
